nro_cliente;cambio_de_plan
842;0
843;1
844;1
845;1
846;0
847;0
848;0
849;1
850;0
851;1
852;0
853;1
854;0
855;0
856;1
857;0
858;1
859;1
860;0
861;1
862;0
863;1
864;0
865;0
866;1
867;1
868;1
869;0
870;1
871;1
872;1
873;1
874;1
875;0
876;0
877;0
878;0
879;0
880;0
881;1
882;0
883;1
884;0
885;1
886;1
887;0
888;1
889;0
890;0
891;0
892;0
893;0
894;1
895;1
896;0
897;1
898;1
899;0
900;0
901;1
902;1
903;1
904;0
905;1
906;1
907;1
908;1
909;1
910;0
911;1
912;0
913;1
914;0
915;0
916;0
917;1
918;0
919;0
920;0
921;1
922;1
923;1
924;0
925;0
926;0
927;0
928;1
929;0
930;0
931;0
932;0
933;0
934;1
935;1
936;0
937;0
938;0
939;1
940;0
941;0
942;0
943;1
944;0
945;1
946;0
947;1
948;0
949;1
950;0
951;1
952;0
953;1
954;0
955;1
956;0
957;0
958;0
959;1
960;1
961;1
962;0
963;1
964;0
965;0
966;1
967;1
968;0
969;0
970;1
971;0
972;0
973;0
974;0
975;1
976;0
977;0
978;0
979;0
980;1
981;1
982;1
983;0
984;0
985;0
986;0
987;0
988;1
989;1
990;1
991;0
992;0
993;1
994;1
995;1
996;0
997;1
998;0
999;1
1000;0
1001;1
1002;1
1003;1
1004;0
1005;1
1006;1
1007;0
1008;1
1009;0
1010;0
1011;1
1012;1
1013;0
1014;1
1015;0
1016;0
1017;0
1018;0
1019;0
1020;1
1021;0
1022;1
1023;0
1024;1
1025;0
1026;1
1027;0
1028;0
1029;0
1030;0
1031;0
1032;0
1033;1
1034;0
1035;0
1036;0
1037;0
1038;0
1039;1
1040;0
1041;0
1042;0
1043;0
1044;1
1045;1
1046;0
1047;1
1048;1
1049;0
1050;1
1051;0
1052;0
1053;1
1054;0
1055;0
1056;1
1057;0
1058;1
1059;1
1060;0
1061;0
1062;0
1063;0
1064;0
1065;1
1066;1
1067;1
1068;0
1069;1
1070;1
1071;0
1072;0
1073;0
1074;0
1075;0
1076;1
1077;0
1078;1
1079;0
1080;1
1081;1
1082;0
1083;0
1084;0
1085;1
1086;1
1087;0
1088;1
1089;0
1090;1
1091;0
1092;1
1093;0
1094;0
1095;1
1096;1
1097;0
1098;0
1099;1
1100;1
1101;0
1102;0
1103;0
1104;0
1105;0
1106;1
1107;0
1108;1
1109;0
1110;1
1111;1
1112;0
1113;1
1114;0
1115;1
1116;0
1117;0
1118;0
1119;0
1120;1
1121;1
1122;0
1123;0
1124;0
1125;1
1126;1
1127;0
1128;0
1129;0
1130;1
1131;1
1132;1
1133;0
1134;0
1135;1
1136;1
1137;0
1138;0
1139;0
1140;1
1141;0
1142;1
1143;0
1144;1
1145;0
1146;0
1147;1
1148;0
1149;1
1150;0
1151;0
1152;1
1153;1
1154;0
1155;1
1156;0
1157;0
1158;0
1159;1
1160;0
1161;0
1162;1
1163;0
1164;0
1165;0
1166;1
1167;0
1168;0
1169;0
1170;0
1171;0
1172;0
1173;1
1174;0
1175;0
1176;1
1177;0
1178;0
1179;0
1180;1
1181;0
1182;1
1183;0
1184;1
1185;0
1186;0
1187;0
1188;0
1189;1
1190;0
1191;0
1192;1
1193;1
1194;0
1195;1
1196;1
1197;0
1198;0
1199;1
1200;0
1201;0
1202;1
1203;0
1204;0
1205;0
1206;1
1207;0
1208;0
1209;1
1210;0
1211;0
1212;1
1213;1
1214;1
1215;0
1216;0
1217;1
1218;0
1219;0
1220;0
1221;1
1222;1
1223;1
1224;0
1225;1
1226;0
1227;0
1228;1
1229;1
1230;0
1231;1
1232;0
1233;0
1234;0
1235;0
1236;0
1237;1
1238;0
1239;1
1240;1
1241;0
1242;0
1243;0
1244;0
1245;0
1246;1
1247;0
1248;0
1249;1
1250;0
1251;0
1252;0
1253;0
1254;0
1255;0
1256;0
1257;0
1258;0
1259;1
1260;0
1261;0
1262;1
1263;0
1264;1
1265;1
1266;0
1267;1
1268;0
1269;0
1270;1
1271;1
1272;0
1273;0
1274;0
1275;0
1276;0
1277;0
1278;0
1279;0
1280;1
1281;0
1282;0
1283;0
1284;1
1285;1
1286;0
1287;1
1288;1
1289;1
1290;1
1291;1
1292;0
1293;0
1294;0
1295;0
1296;0
1297;1
1298;0
1299;0
1300;1
1301;1
1302;1
1303;0
1304;1
1305;0
1306;0
1307;1
1308;0
1309;0
1310;1
1311;0
1312;0
1313;1
1314;0
1315;0
1316;1
1317;1
1318;1
1319;0
1320;0
1321;1
1322;0
1323;1
1324;0
1325;0
1326;1
1327;1
1328;1
1329;0
1330;1
1331;0
1332;0
1333;0
1334;1
1335;1
1336;1
1337;0
1338;1
1339;1
1340;1
1341;0
1342;0
1343;0
1344;0
1345;1
1346;1
1347;0
1348;0
1349;1
1350;0
1351;1
1352;1
1353;1
1354;1
1355;1
1356;0
1357;1
1358;0
1359;1
1360;1
1361;0
1362;1
1363;1
1364;0
1365;0
1366;0
1367;0
1368;0
1369;0
1370;1
1371;0
1372;0
1373;0
1374;1
1375;0
1376;0
1377;1
1378;1
1379;1
1380;0
1381;0
1382;0
1383;0
1384;1
1385;0
1386;0
1387;1
1388;0
1389;0
1390;0
1391;1
1392;0
1393;0
1394;0
1395;1
1396;0
1397;1
1398;0
1399;1
1400;0
1401;1
1402;0
1403;0
1404;1
1405;0
1406;0
1407;1
1408;0
1409;0
1410;0
1411;1
1412;1
1413;0
1414;0
1415;0
1416;0
1417;0
1418;1
1419;0
1420;1
1421;0
1422;0
1423;0
1424;1
1425;0
1426;0
1427;1
1428;0
1429;0
1430;1
1431;0
1432;1
1433;1
1434;0
1435;0
1436;0
1437;0
1438;0
1439;0
1440;1
1441;0
1442;0
1443;1
1444;0
1445;0
1446;0
1447;0
1448;1
1449;0
1450;0
1451;0
1452;0
1453;0
1454;1
1455;1
1456;0
1457;1
1458;0
1459;1
1460;1
1461;0
1462;0
1463;0
1464;1
1465;0
1466;0
1467;1
1468;1
1469;1
1470;1
1471;1
1472;0
1473;0
1474;1
1475;0
1476;0
1477;0
1478;0
1479;1
1480;1
1481;0
1482;0
1483;1
1484;0
1485;0
1486;0
1487;1
1488;0
1489;0
1490;0
1491;0
1492;1
1493;1
1494;0
1495;0
1496;1
1497;0
1498;0
1499;1
1500;0
1501;0
1502;1
1503;1
1504;1
1505;0
1506;0
1507;0
1508;0
1509;0
1510;1
1511;1
1512;0
1513;1
1514;0
1515;0
1516;0
1517;1
1518;0
1519;0
1520;0
1521;0
1522;0
1523;1
1524;0
1525;0
1526;1
1527;0
1528;0
1529;0
1530;0
1531;0
1532;1
1533;0
1534;0
1535;1
1536;1
1537;1
1538;0
1539;0
1540;0
1541;0
1542;0
1543;0
1544;0
1545;0
1546;0
1547;0
1548;1
1549;1
1550;1
1551;1
1552;1
1553;1
1554;0
1555;1
1556;0
1557;0
1558;0
1559;1
1560;0
1561;1
1562;1
1563;0
1564;1
1565;0
1566;0
1567;0
1568;1
1569;0
1570;0
1571;0
1572;0
1573;0
1574;1
1575;1
1576;1
1577;1
1578;1
1579;0
1580;1
1581;1
1582;0
1583;0
1584;0
1585;0
1586;1
1587;1
1588;1
1589;0
1590;1
1591;1
1592;0
1593;1
1594;1
1595;1
1596;0
1597;0
1598;1
1599;1
1600;1
1601;0
1602;1
1603;1
1604;0
1605;0
1606;1
1607;0
1608;1
1609;0
1610;0
1611;1
1612;0
1613;0
1614;0
1615;1
1616;0
1617;1
1618;0
1619;1
1620;1
1621;1
1622;1
1623;1
1624;0
1625;0
1626;1
1627;0
1628;0
1629;0
1630;1
1631;1
1632;0
1633;1
1634;1
1635;1
1636;0
1637;1
1638;1
1639;1
1640;1
1641;1
1642;0
1643;1
1644;1
1645;0
1646;0
1647;0
1648;0
1649;1
1650;0
1651;1
1652;1
1653;0
1654;1
1655;1
1656;0
1657;1
1658;0
1659;0
1660;1
1661;0
1662;0
1663;1
1664;1
1665;0
1666;0
1667;1
1668;0
1669;0
1670;0
1671;0
1672;1
1673;0
1674;1
1675;0
1676;1
1677;0
1678;0
1679;1
1680;0
1681;0
1682;1
1683;0
1684;0
1685;0
1686;1
1687;0
1688;1
1689;0
1690;1
1691;1
1692;1
1693;0
1694;0
1695;0
1696;1
1697;1
1698;1
1699;0
1700;1
1701;1
1702;1
1703;1
1704;0
1705;1
1706;1
1707;1
1708;0
1709;0
1710;1
1711;0
1712;0
1713;1
1714;0
1715;0
1716;1
1717;1
1718;1
1719;0
1720;1
1721;0
1722;0
1723;0
1724;1
1725;0
1726;0
1727;0
1728;1
1729;0
1730;0
1731;0
1732;0
1733;1
1734;1
1735;0
1736;1
1737;0
1738;0
1739;0
1740;0
1741;0
1742;0
1743;0
1744;1
1745;0
1746;0
1747;1
1748;1
1749;1
1750;0
1751;0
1752;1
1753;1
1754;0
1755;0
1756;0
1757;1
1758;0
1759;0
1760;0
1761;1
1762;0
1763;1
1764;1
1765;1
1766;0
1767;1
1768;1
1769;1
1770;1
1771;1
1772;1
1773;0
1774;1
1775;1
1776;0
1777;0
1778;1
1779;1
1780;1
1781;0
1782;1
1783;1
1784;0
1785;1
1786;0
1787;1
1788;1
1789;0
1790;0
1791;0
1792;0
1793;1
1794;0
1795;0
1796;1
1797;1
1798;1
1799;0
1800;0
1801;0
1802;0
1803;1
1804;1
1805;1
1806;1
1807;0
1808;0
1809;0
1810;1
1811;0
1812;0
1813;0
1814;0
1815;0
1816;0
1817;1
1818;0
1819;1
1820;0
1821;1
1822;1
1823;1
1824;0
1825;0
1826;1
1827;1
1828;0
1829;1
1830;0
1831;0
1832;0
1833;1
1834;1
1835;1
1836;1
1837;1
1838;1
1839;1
1840;0
1841;1
1842;1
1843;0
1844;1
1845;0
1846;0
1847;0
1848;0
1849;0
1850;1
1851;1
1852;1
1853;0
1854;0
1855;1
1856;0
1857;0
1858;1
1859;0
1860;0
1861;0
1862;1
1863;0
1864;1
1865;0
1866;0
1867;0
1868;0
1869;0
1870;1
1871;1
1872;1
1873;1
1874;1
1875;0
1876;0
1877;1
1878;0
1879;0
1880;0
1881;0
1882;0
1883;0
1884;0
1885;1
1886;1
1887;0
1888;1
1889;1
1890;1
1891;0
1892;0
1893;0
1894;0
1895;0
1896;0
1897;0
1898;1
1899;1
1900;1
1901;0
1902;1
1903;0
1904;1
1905;0
1906;0
1907;0
1908;0
1909;1
1910;0
1911;0
1912;1
1913;1
1914;1
1915;0
1916;0
1917;1
1918;1
1919;1
1920;1
1921;1
1922;0
1923;1
1924;0
1925;1
1926;1
1927;1
1928;0
1929;0
1930;0
1931;0
1932;1
1933;1
1934;0
1935;0
1936;0
1937;0
1938;0
1939;0
1940;0
1941;0
1942;0
1943;1
1944;1
1945;1
1946;0
1947;1
1948;1
1949;0
1950;1
1951;1
1952;1
1953;0
1954;0
1955;0
1956;0
1957;0
1958;1
1959;0
1960;0
1961;0
1962;1
1963;1
1964;1
1965;0
1966;0
1967;1
1968;1
1969;1
1970;1
1971;1
1972;1
1973;1
1974;0
1975;0
1976;0
1977;1
1978;0
1979;1
1980;0
1981;1
1982;0
1983;0
1984;0
1985;0
1986;1
1987;1
1988;0
1989;1
1990;0
1991;0
1992;0
1993;0
1994;0
1995;0
1996;0
1997;1
1998;1
1999;0
2000;1
2001;0
2002;0
2003;0
2004;1
2005;0
2006;0
2007;0
2008;1
2009;0
2010;0
2011;1
2012;1
2013;1
2014;0
2015;1
2016;1
2017;0
2018;1
2019;0
2020;1
2021;1
2022;0
2023;1
2024;1
2025;1
2026;0
2027;1
2028;1
2029;0
2030;1
2031;0
2032;0
2033;1
2034;0
2035;0
2036;0
2037;0
2038;1
2039;1
2040;1
2041;0
2042;0
2043;0
2044;1
2045;0
2046;0
2047;1
2048;1
2049;1
2050;0
2051;0
2052;0
2053;1
2054;0
2055;0
2056;0
2057;0
2058;0
2059;1
2060;1
2061;1
2062;1
2063;1
2064;1
2065;1
2066;1
2067;0
2068;0
2069;0
2070;1
2071;0
2072;1
2073;1
2074;0
2075;0
2076;1
2077;0
2078;0
2079;0
2080;1
2081;0
2082;1
2083;0
2084;0
2085;1
2086;0
2087;0
2088;1
2089;0
2090;1
2091;0
2092;0
2093;1
2094;1
2095;1
2096;1
2097;1
2098;0
2099;0
2100;0
2101;1
2102;0
2103;0
2104;0
2105;0
2106;0
2107;0
2108;0
2109;1
2110;0
2111;1
2112;1
2113;0
2114;0
2115;0
2116;1
2117;1
2118;0
2119;0
2120;1
2121;1
2122;1
2123;0
2124;0
2125;1
2126;1
2127;1
2128;0
2129;1
2130;1
2131;0
2132;1
2133;0
2134;1
2135;1
2136;1
2137;0
2138;1
2139;0
2140;1
2141;0
2142;0
2143;0
2144;0
2145;1
2146;1
2147;1
2148;0
2149;1
2150;0
2151;0
2152;0
2153;0
2154;0
2155;1
2156;0
2157;0
2158;1
2159;0
2160;0
2161;0
2162;0
2163;1
2164;1
2165;0
2166;1
2167;1
2168;0
2169;0
2170;0
2171;0
2172;1
2173;1
2174;1
2175;1
2176;1
2177;0
2178;0
2179;0
2180;1
2181;1
2182;0
2183;1
2184;0
2185;1
2186;0
2187;1
2188;0
2189;1
2190;1
2191;1
2192;1
2193;1
2194;0
2195;0
2196;0
2197;0
2198;1
2199;0
2200;0
2201;0
2202;1
2203;1
2204;1
2205;0
2206;0
2207;1
2208;0
2209;0
2210;1
2211;0
2212;0
2213;0
2214;0
2215;0
2216;1
2217;0
2218;0
2219;1
2220;0
2221;1
2222;1
2223;0
2224;0
2225;1
2226;1
2227;0
2228;0
2229;1
2230;1
2231;0
2232;1
2233;1
2234;1
2235;1
2236;0
2237;0
2238;0
2239;1
2240;1
2241;0
2242;1
2243;0
2244;1
2245;0
2246;1
2247;1
2248;1
2249;0
2250;0
2251;1
2252;0
2253;0
2254;0
2255;0
2256;0
2257;1
2258;0
2259;0
2260;0
2261;0
2262;0
2263;1
2264;0
2265;1
2266;0
2267;0
2268;0
2269;0
2270;1
2271;1
2272;1
2273;1
2274;0
2275;0
2276;0
2277;1
2278;0
2279;1
2280;1
2281;0
2282;0
2283;0
2284;0
2285;1
2286;0
2287;0
2288;0
2289;0
2290;1
2291;0
2292;0
2293;0
2294;0
2295;0
2296;0
2297;0
2298;0
2299;1
2300;0
2301;0
2302;1
2303;1
2304;0
2305;0
2306;1
2307;0
2308;1
2309;1
2310;1
2311;0
2312;0
2313;1
2314;0
2315;0
2316;0
2317;1
2318;0
2319;1
2320;0
2321;1
2322;0
2323;0
2324;0
2325;1
2326;1
2327;0
2328;0
2329;1
2330;0
2331;1
2332;0
2333;0
2334;0
2335;0
2336;1
2337;0
2338;0
2339;1
2340;0
2341;1
2342;1
2343;1
2344;1
2345;0
2346;1
2347;1
2348;0
2349;0
2350;1
2351;0
2352;1
2353;1
2354;1
2355;0
2356;0
2357;1
2358;0
2359;1
2360;0
2361;0
2362;0
2363;1
2364;0
2365;1
2366;1
2367;0
2368;0
2369;0
2370;0
2371;1
2372;1
2373;0
2374;1
2375;0
2376;0
2377;1
2378;1
2379;0
2380;0
2381;1
2382;1
2383;0
2384;0
2385;0
2386;1
2387;1
2388;0
2389;0
2390;0
2391;1
2392;1
2393;0
2394;0
2395;0
2396;1
2397;1
2398;0
2399;0
2400;1
2401;1
2402;0
2403;0
2404;0
2405;0
2406;1
2407;0
2408;1
2409;0
2410;1
2411;1
2412;0
2413;1
2414;1
2415;1
2416;1
2417;0
2418;0
2419;0
2420;1
2421;1
2422;0
2423;1
2424;1
2425;0
2426;0
2427;0
2428;1
2429;1
2430;0
2431;1
2432;0
2433;1
2434;0
2435;1
2436;1
2437;1
2438;1
2439;0
2440;0
2441;1
2442;0
2443;1
2444;1
2445;1
2446;1
2447;0
2448;0
2449;1
2450;1
2451;0
2452;1
2453;0
2454;0
2455;1
2456;0
2457;1
2458;1
2459;0
2460;1
2461;1
2462;1
2463;0
2464;1
2465;1
2466;0
2467;1
2468;0
2469;0
2470;1
2471;0
2472;1
2473;0
2474;0
2475;1
2476;1
2477;1
2478;1
2479;0
2480;1
2481;1
2482;1
2483;1
2484;0
2485;1
2486;0
2487;0
2488;0
2489;1
2490;1
2491;1
2492;1
2493;1
2494;0
2495;1
2496;0
2497;0
2498;0
2499;0
2500;1
2501;0
2502;1
2503;0
2504;1
2505;0
2506;1
2507;1
2508;0
2509;1
2510;0
2511;1
2512;1
2513;0
2514;0
2515;0
2516;0
2517;1
2518;0
2519;1
2520;1
2521;1
2522;1
2523;1
2524;1
2525;0
2526;1
2527;1
2528;0
2529;0
2530;1
2531;1
2532;1
2533;1
2534;1
2535;1
2536;0
2537;1
2538;1
2539;0
2540;0
2541;1
2542;1
2543;1
2544;0
2545;1
2546;0
2547;0
2548;1
2549;0
2550;0
2551;0
2552;0
2553;0
2554;1
2555;0
2556;1
2557;1
2558;0
2559;0
2560;1
2561;0
2562;0
2563;1
2564;1
2565;1
2566;1
2567;1
2568;0
2569;0
2570;0
2571;1
2572;1
2573;0
2574;0
2575;0
2576;1
2577;0
2578;1
2579;1
2580;1
2581;0
2582;1
2583;1
2584;1
2585;0
2586;1
2587;1
2588;1
2589;1
2590;1
2591;0
2592;1
2593;0
2594;0
2595;0
2596;1
2597;1
2598;1
2599;0
2600;0
2601;1
2602;0
2603;0
2604;0
2605;0
2606;1
2607;1
2608;0
2609;0
2610;1
2611;1
2612;0
2613;1
2614;0
2615;1
2616;0
2617;0
2618;0
2619;1
2620;1
2621;0
2622;1
2623;0
2624;0
2625;1
2626;0
2627;0
2628;1
2629;0
2630;1
2631;1
2632;0
2633;1
2634;0
2635;1
2636;1
2637;0
2638;0
2639;0
2640;1
2641;1
2642;1
2643;1
2644;1
2645;1
2646;1
2647;1
2648;0
2649;0
2650;0
2651;1
2652;1
2653;1
2654;1
2655;1
2656;1
2657;0
2658;0
2659;0
2660;1
2661;1
2662;1
2663;1
2664;1
2665;1
2666;0
2667;0
2668;1
2669;0
2670;1
2671;1
2672;1
2673;0
2674;0
2675;1
2676;0
2677;0
2678;0
2679;1
2680;0
2681;0
2682;1
2683;1
2684;0
2685;1
2686;1
2687;0
2688;0
2689;0
2690;1
2691;0
2692;1
2693;1
2694;1
2695;0
2696;0
2697;0
2698;1
2699;1
2700;1
2701;0
2702;1
2703;1
2704;1
2705;1
2706;1
2707;0
2708;0
2709;0
2710;1
2711;0
2712;1
2713;1
2714;1
2715;0
2716;1
2717;0
2718;0
2719;1
2720;0
2721;1
2722;0
2723;1
2724;1
2725;1
2726;0
2727;0
2728;1
2729;1
2730;0
2731;0
2732;0
2733;0
2734;1
2735;1
2736;1
2737;0
2738;1
2739;0
2740;0
2741;1
2742;0
2743;0
2744;0
2745;0
2746;1
2747;0
2748;0
2749;1
2750;1
2751;1
2752;0
2753;0
2754;0
2755;1
2756;0
2757;1
2758;0
2759;1
2760;0
2761;1
2762;0
2763;1
2764;1
2765;1
2766;0
2767;0
2768;0
2769;0
2770;1
2771;0
2772;1
2773;1
2774;1
2775;1
2776;1
2777;1
2778;0
2779;0
2780;0
2781;0
2782;0
2783;0
2784;0
2785;1
2786;1
2787;1
2788;0
2789;0
2790;0
2791;1
2792;0
2793;0
2794;0
2795;0
2796;1
2797;0
2798;1
2799;1
2800;1
2801;1
2802;1
2803;1
2804;1
2805;1
2806;1
2807;0
2808;0
2809;1
2810;1
2811;1
2812;0
2813;1
2814;0
2815;0
2816;0
2817;0
2818;0
2819;1
2820;1
2821;0
2822;0
2823;0
2824;1
2825;0
2826;0
2827;0
2828;0
2829;1
2830;1
2831;1
2832;1
2833;1
2834;0
2835;0
2836;0
2837;0
2838;0
2839;1
2840;0
2841;0
2842;1
2843;0
2844;0
2845;1
2846;1
2847;1
2848;0
2849;0
2850;1
2851;0
2852;0
2853;0
2854;1
2855;0
2856;0
2857;0
2858;0
2859;0
2860;0
2861;0
2862;1
2863;1
2864;1
2865;1
2866;1
2867;1
2868;1
2869;0
2870;0
2871;0
2872;1
2873;0
2874;1
2875;0
2876;1
2877;1
2878;0
2879;1
2880;0
2881;1
2882;0
2883;1
2884;1
2885;1
2886;1
2887;1
2888;1
2889;0
2890;1
2891;0
2892;1
2893;0
2894;0
2895;1
2896;1
2897;0
2898;1
2899;0
2900;0
2901;0
2902;1
2903;1
2904;1
2905;1
2906;1
2907;1
2908;0
2909;1
2910;0
2911;0
2912;0
2913;0
2914;1
2915;0
2916;0
2917;0
2918;0
2919;1
2920;1
2921;1
2922;0
2923;1
2924;0
2925;0
2926;0
2927;1
2928;0
2929;1
2930;1
2931;1
2932;0
2933;1
2934;1
2935;1
2936;0
2937;0
2938;0
2939;0
2940;1
2941;0
2942;0
2943;0
2944;0
2945;1
2946;1
2947;0
2948;1
2949;0
2950;1
2951;1
2952;1
2953;1
2954;1
2955;1
2956;0
2957;0
2958;0
2959;0
2960;0
2961;1
2962;1
2963;0
2964;0
2965;0
2966;1
2967;0
2968;1
2969;0
2970;0
2971;1
2972;0
2973;0
2974;1
2975;1
2976;0
2977;0
2978;0
2979;1
2980;0
2981;1
2982;1
2983;0
2984;0
2985;1
2986;0
2987;1
2988;1
2989;1
2990;0
2991;0
2992;1
2993;0
